HDI rank,Country,Human Development Index (HDI) - 2021,Life expectancy at birth - 2021,Expected years of schooling - 2021,Mean years of schooling - 2021,Gross national income (GNI) per capita - 2021
1.0,Switzerland,0.962,84.0,16.5,13.9,66933.0
2.0,Norway,0.961,83.2,18.2,13.0,64660.0
3.0,Iceland,0.959,82.7,19.2,13.8,55782.0
4.0,Hong Kong,0.952,85.5,17.3,12.2,62607.0
5.0,Australia,0.951,84.5,21.1,12.7,49238.0
6.0,Denmark,0.948,81.4,18.7,13.0,60365.0
7.0,Sweden,0.947,83.0,19.4,12.6,54489.0
8.0,Ireland,0.945,82.0,18.9,11.6,76169.0
9.0,Germany,0.942,80.6,17.0,14.1,54534.0
10.0,Netherlands,0.941,81.7,18.7,12.6,55979.0
11.0,Finland,0.94,82.0,19.1,12.9,49452.0
12.0,Singapore,0.939,82.8,16.5,11.9,90919.0
13.0,Belgium,0.937,81.9,19.6,12.4,52293.0
13.0,New Zealand,0.937,82.5,20.3,12.9,44057.0
15.0,Canada,0.936,82.7,16.4,13.8,46808.0
16.0,Liechtenstein,0.935,83.3,15.2,12.5,146830.0
17.0,Luxembourg,0.93,82.6,14.4,13.0,84649.0
18.0,United Kingdom,0.929,80.7,17.3,13.4,45225.0
19.0,Japan,0.925,84.8,15.2,13.4,42274.0
19.0,Korea,0.925,83.7,16.5,12.5,44501.0
21.0,United States,0.921,77.2,16.3,13.7,64765.0
22.0,Israel,0.919,82.3,16.1,13.3,41524.0
23.0,Malta,0.918,83.8,16.8,12.2,38884.0
23.0,Slovenia,0.918,80.7,17.7,12.8,39746.0
25.0,Austria,0.916,81.6,16.0,12.3,53619.0
26.0,United Arab Emirates,0.911,78.7,15.7,12.7,62574.0
27.0,Spain,0.905,83.0,17.9,10.6,38354.0
28.0,France,0.903,82.5,15.8,11.6,45937.0
29.0,Cyprus,0.896,81.2,15.6,12.4,38188.0
30.0,Italy,0.895,82.9,16.2,10.7,42840.0
31.0,Estonia,0.89,77.1,15.9,13.5,38048.0
32.0,Czechia,0.889,77.7,16.2,12.9,38745.0
33.0,Greece,0.887,80.1,20.0,11.4,29002.0
34.0,Poland,0.876,76.5,16.0,13.2,33034.0
35.0,Bahrain,0.875,78.8,16.3,11.0,39497.0
35.0,Lithuania,0.875,73.7,16.3,13.5,37931.0
35.0,Saudi Arabia,0.875,76.9,16.1,11.3,46112.0
38.0,Portugal,0.866,81.0,16.9,9.6,33155.0
39.0,Latvia,0.863,73.6,16.2,13.3,32803.0
40.0,Andorra,0.858,80.4,13.3,10.6,51167.0
40.0,Croatia,0.858,77.6,15.1,12.2,30132.0
42.0,Chile,0.855,78.9,16.7,10.9,24563.0
42.0,Qatar,0.855,79.3,12.6,10.0,87134.0
44.0,San Marino,0.853,80.9,12.3,10.8,52654.0
45.0,Slovakia,0.848,74.9,14.5,12.9,30690.0
46.0,Hungary,0.846,74.5,15.0,12.2,32789.0
47.0,Argentina,0.842,75.4,17.9,11.1,20925.0
48.0,Turkey,0.838,76.0,18.3,8.6,31033.0
49.0,Montenegro,0.832,76.3,15.1,12.2,20839.0
50.0,Kuwait,0.831,78.7,15.3,7.3,52920.0
51.0,Brunei Darussalam,0.829,74.6,14.0,9.2,64490.0
52.0,Russian Federation,0.822,69.4,15.8,12.8,27166.0
53.0,Romania,0.821,74.2,14.2,11.3,30027.0
54.0,Oman,0.816,72.5,14.6,11.7,27054.0
55.0,Bahamas,0.812,71.6,12.9,12.6,30486.0
56.0,Kazakhstan,0.811,69.4,15.8,12.3,23943.0
57.0,Trinidad and Tobago,0.81,73.0,14.5,11.6,23392.0
58.0,Costa Rica,0.809,77.0,16.5,8.8,19974.0
58.0,Uruguay,0.809,75.4,16.8,9.0,21269.0
60.0,Belarus,0.808,72.4,15.2,12.1,18849.0
61.0,Panama,0.805,76.2,13.1,10.5,26957.0
62.0,Malaysia,0.803,74.9,13.3,10.6,26658.0
63.0,Georgia,0.802,71.7,15.6,12.8,14664.0
63.0,Mauritius,0.802,73.6,15.2,10.4,22025.0
63.0,Serbia,0.802,74.2,14.4,11.4,19123.0
66.0,Thailand,0.8,78.7,15.9,8.7,17030.0
67.0,Albania,0.796,76.5,14.4,11.3,14131.0
68.0,Bulgaria,0.795,71.8,13.9,11.4,23079.0
68.0,Grenada,0.795,74.9,18.7,9.0,13484.0
70.0,Barbados,0.79,77.6,15.7,9.9,12306.0
71.0,Antigua and Barbuda,0.788,78.5,14.2,9.3,16792.0
72.0,Seychelles,0.785,71.3,13.9,10.3,25831.0
73.0,Sri Lanka,0.782,76.4,14.1,10.8,12578.0
74.0,Bosnia and Herzegovina,0.78,75.3,13.8,10.5,15242.0
75.0,Saint Kitts and Nevis,0.777,71.7,15.4,8.7,23358.0
76.0,Iran,0.774,73.9,14.6,10.6,13001.0
77.0,Ukraine,0.773,71.6,15.0,11.1,13256.0
78.0,North Macedonia,0.77,73.8,13.6,10.2,15918.0
79.0,China,0.768,78.2,14.2,7.6,17504.0
80.0,Dominican Republic,0.767,72.6,14.5,9.3,17990.0
80.0,Moldova (Republic of),0.767,68.8,14.4,11.8,14875.0
80.0,Palau,0.767,66.0,15.8,12.5,13819.0
83.0,Cuba,0.764,73.7,14.4,12.5,7879.0
84.0,Peru,0.762,72.4,15.4,9.9,12246.0
85.0,Armenia,0.759,72.0,13.1,11.3,13158.0
